Order ID_x,Order Status_x,Category Name_x,SKU_x,Quantity_x,Unit Price_x,Cost Price_x,Total Cost Price_x,Total Price_x,Order Total_x,Sub Total_x,Tax_x,Delivery Charge_x,Tip_x,Discount_x,Remaining Balance_x,Payment Method_x,Additional Charge_x,Taxable Amount_x,Transaction ID_x,Currency Symbol_x,Customer ID,Merchant ID_x,Description_x,Distance (in km)_x,Order Time_x,Pickup Time_x,Delivery Time_x,Ratings_x,Reviews_x,Order Preparation Time_x,Debt Amount,Redeemed Loyalty Points_x,Consumed Loyalty Points_x,Flat Discount_x,Checkout Template Name_x,Checkout Template Value_x,Order ID_y,Order Status_y,Category Name_y,SKU_y,Quantity_y,Unit Price_y,Cost Price_y,Total Cost Price_y,Total Price_y,Order Total_y,Sub Total_y,Tax_y,Delivery Charge_y,Tip_y,Discount_y,Remaining Balance_y,Payment Method_y,Additional Charge_y,Taxable Amount_y,Transaction ID_y,Currency Symbol_y,Merchant ID_y,Distance (in km)_y,Order Time_y,Pickup Time_y,Delivery Time_y,Order Preparation Time_y,Redeemed Loyalty Points_y,Consumed Loyalty Points_y,Flat Discount_y,Checkout Template Name_y,Checkout Template Value_y
11265015.0,ORDERED,Cooking Fat & Oil,KKCO0487,1.0,4400.0,4250,4250,4400.0,4350.0,4400.0,-,-,-,-,0.0,CASH,-,-,0.0,KSh,3755460,893555.0,,10.9,2022-02-17T16:36:27.000Z,2022-02-17T16:37:16.000Z,2022-02-18T08:00:00.000Z,,,0.0,-,50,-,0.0,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11213888.0,COMPLETED,Flour & Sugar,KKFS02350,1.0,3400.0,3200,3200,3400.0,3350.0,3400.0,-,-,-,-,0.0,CASH,-,-,0.0,KSh,3755460,893555.0,,10.9,2022-02-14T18:12:21.000Z,2022-02-15T14:00:00.000Z,2022-02-16T09:00:00.000Z,,,0.0,-,50,34,0.0,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10606303.0,CANCELLED,Cooking Fat & Oil,KKCO0487,1.0,4310.0,4200,4200,4310.0,4365.0,4365.0,-,-,-,-,0.0,CASH,-,-,0.0,KSh,3755460,893555.0,,10.9,2022-01-13T12:14:30.000Z,2022-01-13T13:00:00.000Z,2022-01-14T08:00:00.000Z,,,0.0,-,-,-,0.0,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10606303.0,CANCELLED,Cleaning & Hygiene,KKPT1201,1.0,55.0,48.33,48.33,55.0,4365.0,4365.0,-,-,-,-,0.0,CASH,-,-,0.0,KSh,3755460,893555.0,,10.9,2022-01-13T12:14:30.000Z,2022-01-13T13:00:00.000Z,2022-01-14T08:00:00.000Z,,,0.0,-,-,-,0.0,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11264651.0,ORDERED,Cleaning & Hygiene,KKPT280100,1.0,180.0,130,130,180.0,7255.0,7255.0,-,-,-,-,0.0,CASH,-,-,0.0,KSh,4541187,893555.0,Urgently deliver by 9.30am in the morning,6.99,2022-02-17T16:19:05.000Z,2022-02-17T16:19:53.000Z,2022-02-18T09:00:00.000Z,,,0.0,-,-,-,0.0,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11264651.0,ORDERED,Flour & Sugar,KKFS0702,6.0,263.0,247,1482,1578.0,7255.0,7255.0,-,-,-,-,0.0,CASH,-,-,0.0,KSh,4541187,893555.0,Urgently deliver by 9.30am in the morning,6.99,2022-02-17T16:19:05.000Z,2022-02-17T16:19:53.000Z,2022-02-18T09:00:00.000Z,,,0.0,-,-,-,0.0,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11264651.0,ORDERED,Salt & Seasoning,KKSS0002,10.0,65.0,58,580,650.0,7255.0,7255.0,-,-,-,-,0.0,CASH,-,-,0.0,KSh,4541187,893555.0,Urgently deliver by 9.30am in the morning,6.99,2022-02-17T16:19:05.000Z,2022-02-17T16:19:53.000Z,2022-02-18T09:00:00.000Z,,,0.0,-,-,-,0.0,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11264651.0,ORDERED,Beverages,KKBE0105,1.0,249.0,208.5,208.5,249.0,7255.0,7255.0,-,-,-,-,0.0,CASH,-,-,0.0,KSh,4541187,893555.0,Urgently deliver by 9.30am in the morning,6.99,2022-02-17T16:19:05.000Z,2022-02-17T16:19:53.000Z,2022-02-18T09:00:00.000Z,,,0.0,-,-,-,0.0,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11264651.0,ORDERED,Cooking Fat & Oil,KKCO0310,1.0,2323.0,2300,2300,2323.0,7255.0,7255.0,-,-,-,-,0.0,CASH,-,-,0.0,KSh,4541187,893555.0,Urgently deliver by 9.30am in the morning,6.99,2022-02-17T16:19:05.000Z,2022-02-17T16:19:53.000Z,2022-02-18T09:00:00.000Z,,,0.0,-,-,-,0.0,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11264651.0,ORDERED,Cleaning & Hygiene,KKPT02501,1.0,85.0,58,58,85.0,7255.0,7255.0,-,-,-,-,0.0,CASH,-,-,0.0,KSh,4541187,893555.0,Urgently deliver by 9.30am in the morning,6.99,2022-02-17T16:19:05.000Z,2022-02-17T16:19:53.000Z,2022-02-18T09:00:00.000Z,,,0.0,-,-,-,0.0,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
